"","appeal","issue","neg","par","opp","id_extr","new","medium","from","as_is","comp_is","date","poll","jor_int","as_is_perc"
"1","De PVV wil geen Turkse ministers die campagnes in Nederland","norm",0,"pvv",1,4.04,0,"fb","pvv",1,1,2017-03-09,58.52,0,"0.75"
"2","Omdat ze de afgelopen vier jaar hebben laten zien dat zij moeilijke problemen wel de baas kunnen","gov",0,"vvd",0,2.64,0,"fb","vvd",5,9,2017-03-14,-38.03,0,"33.33"
"3","Omdat de vvd zorgt dat ik in het donker veilig over straat kan.","crime",0,"vvd",0,2.64,0,"fb","vvd",11,10,2017-03-14,-38.03,0,"25.58"
"4","Nederland uit de crisis? Dat was de belangrijkste opdracht in de afgelopen 4.5 jaar en het is met zijn allen gelukt.","econ",0,"vvd",0,2.64,0,"fb","vvd",23,-47,2017-03-14,-38.03,0,"46"
"5","Veel meer werklozen daardoor veel meer problemen in het land. Dat heeft u veroorzaakt","jobs",1,"vvd",0,2.64,0,"fb","vvd",5,22,2017-03-13,-38.03,0,"12.5"
"6","Veel meer werklozen daardoor veel meer problemen in het land. Dat heeft u veroorzaakt","jobs",1,"vvd",0,2.64,0,"fb","vvd",5,22,2017-03-13,-38.03,0,"12.5"
"7","Daarna bent u verder geradicaliseerd door te zeggen de moskeeen gaan dicht","imm",1,"vvd",0,2.64,0,"fb","vvd",6,-9,2017-03-13,-38.03,0,"2.46"
"8","Met Henk Kamp leverden wij de groenste minister die Nederland ooit heeft gehad","environ",0,"vvd",0,2.64,0,"fb","vvd",0,0,2017-03-10,-38.03,0,"0"
"9","Zo willen wij strengere international regels  vervuilers aanpakken en schone bedrijven belonen","environ",0,"vvd",0,2.64,0,"fb","vvd",0,0,2017-03-10,-38.03,0,"0"
"10","Zo willen wij strengere international regels  vervuilers aanpakken en schone bedrijven belonen","environ",0,"vvd",0,2.64,0,"fb","vvd",0,0,2017-03-10,-38.03,0,"0"
"11","Zo willen wij strengere international regels  vervuilers aanpakken en schone bedrijven belonen","environ",0,"vvd",0,2.64,0,"fb","vvd",0,0,2017-03-10,-38.03,0,"0"
"12","wij kunnen er na woensdag voor zorgen dat welvaart eerlijk wordt verdeeld en dat iedereen er op vooruit gaat.","econ",0,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-14,317.6,0,"4"
"13","we kunnen er na woensdag voor zorgen dat welbaart eeerlij kwordt gedeeld en dat iedereen er op vooruit gaat.","econ",0,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-14,317.6,0,"4"
"14","Ervoor te zorgen dat mensen nite bvang hoeven t zij om naar de dokter te gaan","health",0,"gl",1,2.63,0,"fb","gl",5,13,2017-03-14,317.6,0,"7.35"
"15","We kunnen er ook voor zorgen dat we klimaatverandering aan pakken. investeren in duurzame energie","environ",0,"gl",1,2.63,0,"fb","gl",43,131,2017-03-14,317.6,0,"44.79"
"16","We kunnen er ook voor zorgen dat we klimaatverandering aan pakken. investeren in duurzame energie","environ",0,"gl",1,2.63,0,"fb","gl",43,131,2017-03-14,317.6,0,"44.79"
"17","Bij de VVD pakken we het klimaatprobleem bijvoorbeeld heel eenvoudig aan: Door het gewoon te schrappen uit ons verkiezingsprogramma","environ",1,"gl",1,2.63,0,"fb","gl",43,131,2017-03-13,317.6,0,"44.79"
"18","Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit","social",1,"gl",1,2.63,0,"fb","gl",10,10,2017-03-13,317.6,0,"11.9"
"19","Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit","social",1,"gl",1,2.63,0,"fb","gl",10,10,2017-03-13,317.6,0,"11.9"
