date,medium,source,party,cmp_code,text_appeal,issue,direction_appeal
2017-03-09,Facebook,@partijvoordevrijheid,PVV,22722,De PVV wil geen Turkse ministers die campagnes in Nederland,Norms and Values,Positive Appeal
2017-03-14,Facebook,@VVD,VVD,22420,Omdat ze de afgelopen vier jaar hebben laten zien dat zij moeilijke problemen wel de baas kunnen,Efficient Government,Positive Appeal
2017-03-14,Facebook,@VVD,VVD,22420,Omdat de vvd zorgt dat ik in het donker veilig over straat kan.,Crime Fighting,Positive Appeal
2017-03-14,Facebook,@VVD,VVD,22420,Nederland uit de crisis? Dat was de belangrijkste opdracht in de afgelopen 4.5 jaar en het is met zijn allen gelukt.,"Taxes, Budget & Economy",Positive Appeal
2017-03-13,Facebook,@VVD,VVD,22420,Veel meer werklozen daardoor veel meer problemen in het land. Dat heeft u veroorzaakt,Labour Market,Negative Appeal
2017-03-13,Facebook,@VVD,VVD,22420,Veel meer werklozen daardoor veel meer problemen in het land. Dat heeft u veroorzaakt,Labour Market,Negative Appeal
2017-03-13,Facebook,@VVD,VVD,22420,Daarna bent u verder geradicaliseerd door te zeggen de moskeeen gaan dicht,Immigration,Negative Appeal
2017-03-10,Facebook,@VVD,VVD,22420,Met Henk Kamp leverden wij de groenste minister die Nederland ooit heeft gehad,Environment & Climate,Positive Appeal
2017-03-10,Facebook,@VVD,VVD,22420,Zo willen wij strengere international regels  vervuilers aanpakken en schone bedrijven belonen,Environment & Climate,Positive Appeal
2017-03-10,Facebook,@VVD,VVD,22420,Zo willen wij strengere international regels  vervuilers aanpakken en schone bedrijven belonen,Environment & Climate,Positive Appeal
2017-03-10,Facebook,@VVD,VVD,22420,Zo willen wij strengere international regels  vervuilers aanpakken en schone bedrijven belonen,Environment & Climate,Positive Appeal
2017-03-14,Facebook,@groenlinks,GL,22110,wij kunnen er na woensdag voor zorgen dat welvaart eerlijk wordt verdeeld en dat iedereen er op vooruit gaat.,"Taxes, Budget & Economy",Positive Appeal
2017-03-14,Facebook,@groenlinks,GL,22110,we kunnen er na woensdag voor zorgen dat welbaart eeerlij kwordt gedeeld en dat iedereen er op vooruit gaat.,"Taxes, Budget & Economy",Positive Appeal
2017-03-14,Facebook,@groenlinks,GL,22110,Ervoor te zorgen dat mensen nite bvang hoeven t zij om naar de dokter te gaan,Health Care,Positive Appeal
2017-03-14,Facebook,@groenlinks,GL,22110,We kunnen er ook voor zorgen dat we klimaatverandering aan pakken. investeren in duurzame energie,Environment & Climate,Positive Appeal
2017-03-14,Facebook,@groenlinks,GL,22110,We kunnen er ook voor zorgen dat we klimaatverandering aan pakken. investeren in duurzame energie,Environment & Climate,Positive Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Bij de VVD pakken we het klimaatprobleem bijvoorbeeld heel eenvoudig aan: Door het gewoon te schrappen uit ons verkiezingsprogramma,Environment & Climate,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit,Social Security,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit,Social Security,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit,Education,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit,Housing,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit,Norms and Values,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,En daarom: wij maken het makkelijekr u te ontslaan,Labour Market,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wij verlagen uw uitkering.,Social Security,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wij verlagen uw zorgtoeslagen,Social Security,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wij verlagen uw huurtoeslag.,Social Security,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Wij schuiven de vakbonden aan de kant,Labour Market,Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Want minder voor u  is meer voor ons,"Taxes, Budget & Economy",Negative Appeal
2017-03-13,Facebook,@groenlinks,GL,22110,Zo gaan de hoge inkomens er nog iets meer op vooruit en kunnen onze bankiersvrienden hun bonus behouden.,"Taxes, Budget & Economy",Negative Appeal
2017-03-12,Facebook,@groenlinks,GL,22110,Onze ambitie is helder: een progressief kabinet na 15 maart. En voor de goede orde  dat is zonder de VVD.,Efficient Government,Positive Appeal
2017-03-12,Facebook,@groenlinks,GL,22110,Onze ambitie is helder: een progressief kabinet na 15 maart. En voor de goede orde  dat is zonder de VVD.,Efficient Government,Negative Appeal
2017-03-09,Facebook,@groenlinks,GL,22110,Maak ons de grootste en we zorgen dat Nederland voor het eerst sinds veertig jaar weer een links kabinet krijgt,Efficient Government,Positive Appeal
2017-03-09,Facebook,@groenlinks,GL,22110,maak ons groter en dan krijgen wij de sleutel in handen voor de formatie van een nieuwwe regering,Efficient Government,Positive Appeal
2017-03-09,Facebook,@groenlinks,GL,22110,Maak ons de grootste en wij gaan regeren over links.,Efficient Government,Positive Appeal
2017-03-08,Facebook,@groenlinks,GL,22110,Daarom zei Jesse Klaver vorige week in Leiden dat de helft van de ministers vrouw moet zijn.,Norms and Values,Positive Appeal
2017-03-08,Facebook,@groenlinks,GL,22110,GroenLinks vecht al jaren tegen stereotype beelden en voor gelijke kansen en vrijheden.,Norms and Values,Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,Groenlinks wil allen nieuwe voertuigen zo snel mogelijke elektrisch. Fiscale voordelen voor elketrische auto's. Een landelijk dekkend netwerk van laadpalen en snellaadstations.,Environment & Climate,Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,Groenlinks wil allen nieuwe voertuigen zo snel mogelijke elektrisch. Fiscale voordelen voor elketrische auto's. Een landelijk dekkend netwerk van laadpalen en snellaadstations.,Environment & Climate,Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,Groenlinks wil allen nieuwe voertuigen zo snel mogelijke elektrisch. Fiscale voordelen voor elketrische auto's. Een landelijk dekkend netwerk van laadpalen en snellaadstations.,Environment & Climate,Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,groenlinks voert heel veel milieubelasting in  en dat geven wij terug vooral aan het MKB door de lasten op arbied te verlagen,Environment & Climate,Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,groenlinks voert heel veel milieubelasting in  en dat geven wij terug vooral aan het MKB door de lasten op arbied te verlagen,"Taxes, Budget & Economy",Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,U zegt we worden het snel eens over het aanpakken van belastingontwijking. IN uw verkiezingsprogramma over hoe we belastingontwijkking gaan aanpakken. Niks nada noppes,"Taxes, Budget & Economy",Negative Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.,"Taxes, Budget & Economy",Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.,"Taxes, Budget & Economy",Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.,Health Care,Positive Appeal
2017-03-07,Facebook,@groenlinks,GL,22110,Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.,Health Care,Positive Appeal
2017-03-14,Facebook,fvd,FvD,22730,Macht terug van brussel naar den haag,European Union,Positive Appeal
2017-03-14,Facebook,fvd,FvD,22730,Minder immigratie,Immigration,Positive Appeal
2017-03-14,Facebook,fvd,FvD,22730,Macht terug van brussel naar den haag,European Union,Positive Appeal
2017-03-14,Facebook,fvd,FvD,22730,Minder immigratie,Immigration,Positive Appeal
2017-03-13,Facebook,fvd,FvD,22730,Het kabinet Rutte heeft de afgelopen jaren klakkeloos tientallen miljarden aan de EU overgemaakt en ook nog onze €1.300 miljard pensioenspaarpot onder EU-toezicht geplaatst,European Union,Negative Appeal
2017-03-13,Facebook,fvd,FvD,22730,Het kabinet Rutte heeft de afgelopen jaren klakkeloos tientallen miljarden aan de EU overgemaakt en ook nog onze €1.300 miljard pensioenspaarpot onder EU-toezicht geplaatst,European Union,Negative Appeal
2017-03-13,Facebook,fvd,FvD,22730,FVD wil het EU-associatieverdrag met Turkije opzeggen (voor zover dat überhaupt kan) en snel een referendum over het Nederlandse EU-lidmaatschap.,European Union,Positive Appeal
2017-03-13,Facebook,fvd,FvD,22730,FVD wil het EU-associatieverdrag met Turkije opzeggen (voor zover dat überhaupt kan) en snel een referendum over het Nederlandse EU-lidmaatschap.,European Union,Positive Appeal
2017-03-12,Facebook,fvd,FvD,22730,Fvd wil snel een forse uitbreiding van de Nationale Reserve . Onze Nr. 3 Susan Teunissen (Kapitein bij de Landmacht) gaat zich namens FVD inzetten om dit te realiseren in Den Haag.,Military Interventions,Positive Appeal
2017-03-11,Facebook,fvd,FvD,22730,We verdedigen NL cultuur te weinig en daarom komen wij met die wet bescherming Nederlandse waarden.,Norms and Values,Positive Appeal
2017-03-11,Facebook,fvd,FvD,22730,Nederland anno 2017 geregeerd door het partijkartel.,Efficient Government,Negative Appeal
2017-03-11,Facebook,fvd,FvD,22730,k zal me voor forum inzetten om bureaucratie in de zorg terug te dringen  zodat er weer tijd is voor de patient,Health Care,Positive Appeal
2017-03-11,Facebook,fvd,FvD,22730,Bij forum voor democratie willen we macht van de zorgverzekers inperken zodat er weer meer tijd is voor de patient,Health Care,Positive Appeal
2017-03-11,Facebook,fvd,FvD,22730,Forum voor Democratie gaat dynamiek samen brengen in de nederlandse politiek en de nederlandse economie,"Taxes, Budget & Economy",Positive Appeal
2017-03-11,Facebook,fvd,FvD,22730,Dat doen we door de belastingen sterk te vereenvoudigen en het voor iedereen mogelij kte maken dat we gaan werken en ondernemen,"Taxes, Budget & Economy",Positive Appeal
2017-03-11,Facebook,fvd,FvD,22730,Dat doen we door de belastingen sterk te vereenvoudigen en het voor iedereen mogelij kte maken dat we gaan werken en ondernemen,Labour Market,Positive Appeal
2017-03-11,Facebook,fvd,FvD,22730,De bestaande nederlandse politieke partijen kunnen nederland niet goed besturen. Nationale soevereniteit staat onder druk  vrijheid van expressie is een probleem geworden,Efficient Government,Negative Appeal
2017-03-11,Facebook,fvd,FvD,22730,De bestaande nederlandse politieke partijen kunnen nederland niet goed besturen. Nationale soevereniteit staat onder druk  vrijheid van expressie is een probleem geworden,Norms and Values,Negative Appeal
2017-03-11,Facebook,fvd,FvD,22730,De bestaande nederlandse politieke partijen kunnen nederland niet goed besturen. Nationale soevereniteit staat onder druk  vrijheid van expressie is een probleem geworden,Norms and Values,Negative Appeal
2017-03-10,Facebook,fvd,FvD,22730,tem #FVD om de massa-immigratie te stoppen en de integratieproblemen nu ECHT aan te pakken.,Immigration,Positive Appeal
2017-03-10,Facebook,fvd,FvD,22730,tem #FVD om de massa-immigratie te stoppen en de integratieproblemen nu ECHT aan te pakken.,Immigration,Positive Appeal
2017-03-09,Facebook,fvd,FvD,22730,In Nederland lopen diverse oorlogsmisdadigers rond. Aan deze praktijken gaat Forum voor Democratie een einde maken met een aangescherpte immigratie en remigratie-politiek,Immigration,Positive Appeal
2017-03-08,Facebook,fvd,FvD,22730,Op 15 maart kiezen we in welke film we in Nederland terecht gaan komen. Wordt het weer dezelfde kartelvertoning   met dezelfde ongeloofwaardige acteurs of gaan we voor iets nieuws?,Efficient Government,Negative Appeal
2017-03-07,Facebook,fvd,FvD,22730,Op woensdag 15 maart reken we af met het partijkartel.,Efficient Government,Negative Appeal
2017-03-07,Facebook,fvd,FvD,22730,Op woensdag 15 maart reken we af met het partijkartel.,Efficient Government,Positive Appeal
2017-03-07,Facebook,fvd,FvD,22730,We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.,Norms and Values,Negative Appeal
2017-03-07,Facebook,fvd,FvD,22730,We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.,Immigration,Negative Appeal
2017-03-07,Facebook,fvd,FvD,22730,We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.,European Union,Negative Appeal
